i_idx,j_idx,i_id,j_id,arm_i,arm_j,theta_rad,theta_deg,L_nm,D_nm,P,Psecond,Pmax_over_Psecond
417,506,418,507,1,1,0.5533970486480648,31.707315282530015,15.449421489405154,15.253034830447481,0.3283934601177358,0.27910616426141455,1.1765897789708368
391,442,392,443,0,1,0.4298740835779904,24.62997071107286,23.296303930216972,23.117344298480397,0.32298222108183783,0.29566388343430594,1.0923966002550385
226,478,227,479,0,0,0.5415776247198498,31.030112175167357,9.803035832612498,9.683670456864526,0.31978060219417237,0.15256030438245813,2.0960931055335634
97,125,98,126,0,0,0.3877370454429765,22.21569626475476,25.209753912066226,25.052132296920718,0.31427738487364265,0.23093489500072736,1.3608917131066434
116,199,117,200,0,0,0.580999139842509,33.288798613706874,15.037360239078238,14.826750402207772,0.3126419622451233,0.26486011996431824,1.1804040649352654
242,307,243,308,1,1,0.5843805410847114,33.48253863372537,13.339274549724719,13.15027604160433,0.30925179993120994,0.2954520495947516,1.0467072418532428
136,318,137,319,1,0,0.4000426412805782,22.92075497064309,26.34859841461471,26.17325476844955,0.2994562236586426,0.1960162485982831,1.5277112270031759
60,103,61,104,1,1,0.557186092584913,31.924411508501052,20.922647043526563,20.65304672632188,0.29883515568753966,0.04224184455596045,7.074386993012433
92,159,93,160,1,1,0.5682909265364453,32.56067162611743,20.873914441942574,20.594157600587828,0.2947143665551741,0.10518513417724573,2.8018632942803094
20,424,21,425,1,0,0.6116560274712477,35.045308887840434,16.886576320503902,16.624568855991026,0.29248569202064717,0.29132245475077745,1.0039929543737536
57,60,58,61,1,0,0.583996652823425,33.46054345654905,20.616620034963667,20.324893931962293,0.2898970826063744,0.2784777751357429,1.041006171731533
86,366,87,367,0,1,0.5996051712139172,34.35484568477658,20.344660213324033,20.04125853683288,0.2849102926636159,0.17886958014202414,1.5928381586035727
282,466,283,467,0,1,0.6426743488476001,36.82252779028585,15.524058675263152,15.258271830594703,0.27634426330912326,0.041185687408538195,6.70971594010191
3,397,4,398,1,0,0.4852268811522405,27.801452396319373,27.00797951237869,26.74380414949872,0.27300654289703946,0.10848932524042794,2.5164369148026107
269,393,270,394,0,1,0.6396681241725997,36.65028380414024,19.153480497392774,18.82859948553116,0.27247359352170886,0.0522619358421222,5.213614634268866
43,126,44,127,0,0,0.5866631197844754,33.61332075962831,26.08893888087003,25.71641497428534,0.25325318947419817,0.15735767437861733,1.6094111105432787
188,335,189,336,0,1,0.520795985706058,29.83941196831267,5.876219191409614,5.810035731066547,0.24933124703253787,0.004200080307540214,59.36344754763969
113,123,114,124,0,0,0.6876043479255726,39.396827110980354,14.222440062524944,13.94390936953721,0.2466023485338362,0.17904428628924607,1.3773259881382087
227,338,228,339,0,1,0.6820191880563702,39.07682102256921,21.4410607358374,21.027915535797625,0.2465965877291158,0.1676709111041193,1.4707177655639128
176,265,177,266,1,1,0.7077462177978759,40.55087124616504,19.507280940436864,19.10268552708263,0.24117388985799393,0.11816992893532094,2.0409074629299124
41,475,42,476,0,1,0.7385718391467988,42.31704925032669,22.445738377402673,21.939043653321505,0.22193007341868662,0.22067310734530352,1.0056960546235307
68,276,69,277,0,1,0.5153554944258507,29.52769477947907,4.918618442116205,4.864367936628312,0.21295529473492003,0.0010277588336354065,207.20356543339145
415,440,416,441,0,1,0.47398605709663977,27.15740061968432,34.78043084901819,34.455766094056294,0.21167488982977864,0.1398327584309253,1.513771824320708
36,264,37,265,0,1,0.8298650078766691,47.54776251692395,21.007722565755486,20.41007759207999,0.190165635816393,0.04265571559571235,4.458151344095795
203,234,204,235,0,0,0.7565959093654024,43.34975240350011,12.12391070277084,11.836798694203793,0.18912526412807007,0.17755514291352284,1.0651635375055422
